customer_id,recency_days,frequency,monetary_total,avg_order_value,first_purchase_date,last_purchase_date,customer_lifetime_days,customer_name,city,state,country,signup_date,r_score,f_score,m_score,rfm_total,rfm_cell,customer_segment
C000540,9,32,1875.01,58.5940625,2024-09-06,2026-06-22,654,Lynn Campbell,Lake Annamouth,New York,Saudi Arabia,2023-12-05,5,5,4,14,554,Champions
C001940,7,36,1030.99,28.63861111111111,2024-07-02,2026-06-24,722,Adam Johnson,Garzashire,Nevada,Bangladesh,2025-12-18,5,5,4,14,554,Champions
C001222,19,39,1366.83,35.04692307692307,2024-06-25,2026-06-12,717,Elizabeth Davies,Teresatown,Michigan,Colombia,2025-05-21,5,5,4,14,554,Champions
C000900,78,38,2063.43,54.300789473684205,2024-05-03,2026-04-14,711,Thomas Garcia,Lake Evantown,Arizona,Bosnia and Herzegovina,2024-05-28,4,5,5,14,455,Champions
C000401,23,39,1539.6499999999999,39.478205128205126,2024-06-28,2026-06-08,710,Brandon Wiggins,Dianafort,Missouri,Greece,2024-02-18,5,5,4,14,554,Champions
C000191,18,34,1594.05,46.883823529411764,2024-06-15,2026-06-13,728,Kerri Lee,New Ianburgh,Iowa,Finland,2025-05-23,5,5,4,14,554,Champions
C002427,29,35,1353.4,38.66857142857143,2024-06-23,2026-06-02,709,Michelle Mcintosh,Noahtown,Missouri,Puerto Rico,2024-07-04,5,5,4,14,554,Champions
C001073,22,37,1624.32,43.90054054054054,2024-07-09,2026-06-09,700,Donald Brooks,Stanleyfort,Maryland,Canada,2026-05-15,5,5,4,14,554,Champions
C001577,25,32,1084.27,33.8834375,2024-07-19,2026-06-06,687,Alexandra Case,Hallfort,Oregon,Kazakhstan,2025-07-27,5,5,4,14,554,Champions
C000007,80,33,3425.5,103.8030303030303,2024-06-30,2026-04-12,651,Lauren Hines,Millerfort,Vermont,Niue,2025-07-26,4,5,5,14,455,Champions
C000005,63,25,2831.5,113.26,2024-06-12,2026-04-29,686,Christy Powell,Vanessahaven,Idaho,Switzerland,2025-06-01,4,4,5,13,445,Champions
C002859,20,35,621.8100000000001,17.766000000000002,2024-06-14,2026-06-11,727,Alexa Cox,Schmidtchester,Colorado,Nauru,2024-01-25,5,5,3,13,553,Loyal Customers
C000038,98,34,2262.31,66.5385294117647,2024-06-29,2026-03-25,634,George Valenzuela,Lake Bridgettown,Michigan,Palestinian Territory,2026-03-30,3,5,5,13,355,Potential Loyalists
C001191,83,30,1450.41,48.347,2024-06-11,2026-04-09,667,Brandon Arnold,Malonemouth,Alaska,Montenegro,2024-07-10,4,5,4,13,454,Champions
C003668,14,39,705.0,18.076923076923077,2024-07-05,2026-06-17,712,Theresa Campbell,Wheelershire,Delaware,Madagascar,2026-05-24,5,5,3,13,553,Loyal Customers
C001403,27,33,665.35,20.162121212121214,2024-07-12,2026-06-04,692,Kristin Smith,Hammondbury,Wyoming,Anguilla,2025-08-02,5,5,3,13,553,Loyal Customers
C000920,60,38,1536.71,40.43973684210526,2024-08-04,2026-05-02,636,Emily Lawson,New Jeffreytown,Minnesota,Cook Islands,2024-10-04,4,5,4,13,454,Champions
C002538,63,39,1121.48,28.755897435897435,2024-05-17,2026-04-29,712,Kristen Campbell,Valenzuelaland,New Mexico,Ireland,2025-08-28,4,5,4,13,454,Champions
C001401,52,35,1180.26,33.721714285714285,2024-07-15,2026-05-10,664,Amy West,Lake Daniel,Arkansas,Taiwan,2026-01-29,4,5,4,13,454,Champions
C003128,11,30,511.92,17.064,2024-07-08,2026-06-20,712,Marcia Wilkerson,West John,Mississippi,Swaziland,2024-12-14,5,5,3,13,553,Loyal Customers
C000354,20,27,1391.51,51.53740740740741,2024-07-25,2026-06-11,686,Melissa Aguirre,Watersberg,West Virginia,Argentina,2025-05-31,5,4,4,13,544,Champions
C000857,45,36,1471.23,40.8675,2024-06-30,2026-05-17,686,Karen Sharp,Lake Emilyborough,New Jersey,American Samoa,2024-01-28,4,5,4,13,454,Champions
C001800,18,36,798.11,22.169722222222223,2024-07-27,2026-06-13,686,Derrick Parrish,East Theresa,North Dakota,Belgium,2023-10-02,5,5,3,13,553,Loyal Customers
C000334,27,19,1036.92,54.57473684210527,2024-06-17,2026-06-04,717,Rebecca Brown,South Jasmine,New York,Oman,2025-04-03,5,4,4,13,544,Champions
C000455,38,35,1590.34,45.43828571428571,2024-07-15,2026-05-24,678,Jennifer Hall,Leeborough,Mississippi,Cayman Islands,2024-08-10,4,5,4,13,454,Champions
C003826,7,35,546.47,15.613428571428573,2024-07-07,2026-06-24,717,Heather Young,North John,Wyoming,Maldives,2024-05-30,5,5,3,13,553,Loyal Customers
C000146,136,37,2034.68,54.991351351351355,2024-06-05,2026-02-15,620,Madison Bowers,Melissaside,Alabama,Papua New Guinea,2025-09-18,3,5,5,13,355,Potential Loyalists
C001127,23,28,1035.5,36.982142857142854,2024-07-12,2026-06-08,696,Robert Haynes,Wagnerburgh,North Carolina,Philippines,2024-01-25,5,4,4,13,544,Champions
C000845,77,32,1225.22,38.288125,2024-05-20,2026-04-15,695,Angela Edwards,Mauriceview,North Carolina,Burundi,2026-02-19,4,5,4,13,454,Champions
C001366,55,39,1153.13,29.5674358974359,2024-06-12,2026-05-07,694,Desiree Perez,Devinstad,New Mexico,Ireland,2026-05-02,4,5,4,13,454,Champions
C002339,32,39,1156.37,29.65051282051282,2024-06-11,2026-05-30,718,Christopher Evans,Jacobstown,Nebraska,Romania,2026-04-27,4,5,4,13,454,Champions
C002715,14,37,634.91,17.15972972972973,2024-06-21,2026-06-17,726,Austin Mclaughlin,Marquezville,Tennessee,Jersey,2026-06-29,5,5,3,13,553,Loyal Customers
C002065,43,36,1000.61,27.794722222222223,2024-05-30,2026-05-19,719,Kevin Hays,Tonyashire,Connecticut,Japan,2025-06-04,4,5,4,13,454,Champions
C001136,82,34,1494.4,43.95294117647059,2024-05-15,2026-04-10,695,Kimberly Henderson,New Samanthabury,Nevada,Netherlands Antilles,2023-11-09,4,5,4,13,454,Champions
C001195,8,34,867.84,25.524705882352944,2024-07-25,2026-06-23,698,Francisco Scott,East Kelliside,North Carolina,Myanmar,2023-12-24,5,5,3,13,553,Loyal Customers
C000931,61,35,1368.94,39.11257142857143,2024-06-09,2026-05-01,691,Darryl Costa,Susanport,Kentucky,Belize,2026-03-23,4,5,4,13,454,Champions
C000617,48,37,1985.68,53.66702702702703,2024-06-12,2026-05-14,701,Julia Wilson,North Troy,Idaho,Czech Republic,2024-01-16,4,5,4,13,454,Champions
C000611,90,38,1649.46,43.40684210526316,2024-05-13,2026-04-02,689,Samantha Gibbs,Mikeshire,Washington,Madagascar,2024-07-01,4,5,4,13,454,Champions
C000614,57,36,1349.31,37.48083333333333,2024-06-06,2026-05-05,698,Barbara Thomas,Lake Meaganmouth,Hawaii,Faroe Islands,2024-10-07,4,5,4,13,454,Champions
C001598,59,35,1091.18,31.17657142857143,2024-06-10,2026-05-03,692,Shannon Hughes,Port Jillian,California,Turkey,2026-05-02,4,5,4,13,454,Champions
C001647,54,37,1040.4,28.118918918918922,2024-05-31,2026-05-08,707,Debbie Stephenson,North Johnburgh,Idaho,Azerbaijan,2024-06-27,4,5,4,13,454,Champions
C000434,87,30,1115.14,37.17133333333334,2024-04-10,2026-04-05,725,Frederick Johnson,Wareland,West Virginia,Panama,2024-07-05,4,5,4,13,454,Champions
C000699,44,34,1359.63,39.989117647058826,2024-07-09,2026-05-18,678,Daniel Gould,West Justinfort,Wyoming,Taiwan,2024-12-19,4,5,4,13,454,Champions
C000370,57,31,1701.02,54.8716129032258,2024-06-20,2026-05-05,684,Sara Vega,Garciatown,Washington,Timor-Leste,2023-10-18,4,5,4,13,454,Champions
C001847,35,36,1155.85,32.106944444444444,2024-07-04,2026-05-27,692,Eric Thompson,East Lauren,Virginia,Latvia,2025-06-26,4,5,4,13,454,Champions
C004468,13,33,520.09,15.760303030303032,2024-07-01,2026-06-18,717,Chad Schwartz,New Marcusbury,Tennessee,Marshall Islands,2023-10-23,5,5,3,13,553,Loyal Customers
C001887,77,35,1157.42,33.06914285714286,2024-06-07,2026-04-15,677,Emily Mccormick,South Dawn,Kentucky,Argentina,2024-12-29,4,5,4,13,454,Champions
C002358,85,34,1112.1399999999999,32.709999999999994,2024-04-21,2026-04-07,716,Richard Tucker,Bensonfort,Idaho,Tokelau,2026-06-30,4,5,4,13,454,Champions
C002356,25,34,936.15,27.533823529411762,2024-08-06,2026-06-06,669,Karen Rose,Lake Sara,Michigan,French Guiana,2024-01-03,5,5,3,13,553,Loyal Customers
C002686,83,39,1146.46,29.396410256410256,2024-06-07,2026-04-09,671,Nathan Anderson,East Garybury,Connecticut,Botswana,2023-08-06,4,5,4,13,454,Champions
C000091,90,32,1472.46,46.014375,2024-04-19,2026-04-02,713,Jason Fields,Millerborough,Kansas,China,2026-04-18,4,5,4,13,454,Champions
C000984,61,37,1680.39,45.41594594594595,2024-05-23,2026-05-01,708,Sean Allen,South Kevin,Oregon,Chad,2024-01-21,4,5,4,13,454,Champions
C000295,37,34,1093.69,32.167352941176475,2024-06-18,2026-05-25,706,Gregory Hernandez,South Christophertown,Oregon,Solomon Islands,2023-09-18,4,5,4,13,454,Champions
C002316,29,31,968.0699999999999,31.22806451612903,2024-06-13,2026-06-02,719,Riley Hood,Mitchelltown,South Carolina,Congo,2025-06-10,5,5,3,13,553,Loyal Customers
C003504,26,39,791.21,20.2874358974359,2024-06-16,2026-06-05,719,Luis Lopez,Karenberg,Kentucky,Netherlands Antilles,2025-10-27,5,5,3,13,553,Loyal Customers
C003034,87,39,1125.04,28.847179487179485,2024-04-14,2026-04-05,721,Joseph Nelson,New William,New Jersey,Holy See (Vatican City State),2025-05-22,4,5,4,13,454,Champions
C002330,19,36,817.2,22.700000000000003,2024-07-23,2026-06-12,689,Tonya Douglas,Davisfurt,Mississippi,Poland,2023-09-09,5,5,3,13,553,Loyal Customers
C000319,23,15,1448.66,96.57733333333334,2024-10-03,2026-06-08,613,Brooke Salazar,Smithstad,Montana,Eritrea,2023-07-16,5,4,4,13,544,Champions
C003010,17,37,945.04,25.54162162162162,2024-07-08,2026-06-14,706,Jay Johnston,Shermanville,Alabama,Guyana,2024-06-01,5,5,3,13,553,Loyal Customers
C001910,48,39,1401.01,35.92333333333333,2024-05-21,2026-05-14,723,Parker Hernandez,Kingstad,Delaware,Bolivia,2026-06-14,4,5,4,13,454,Champions
C001381,82,34,1309.27,38.50794117647059,2024-05-20,2026-04-10,690,Karen Jones,Richardborough,Arizona,Equatorial Guinea,2023-08-24,4,5,4,13,454,Champions
C000506,41,31,1078.88,34.80258064516129,2024-06-04,2026-05-21,716,Ronald Nunez,West Royside,Ohio,Suriname,2026-05-29,4,5,4,13,454,Champions
C002251,26,37,892.65,24.125675675675677,2024-06-13,2026-06-05,722,Kelly Chavez,Kendraton,Ohio,Philippines,2026-01-13,5,5,3,13,553,Loyal Customers
C001902,69,33,1407.6,42.65454545454545,2024-06-22,2026-04-23,670,Dr. Terri Gardner MD,Bryantport,Arkansas,Congo,2023-10-15,4,5,4,13,454,Champions
C003329,15,39,585.02,15.00051282051282,2024-07-29,2026-06-16,687,Katie Pena,New Richardport,South Dakota,Panama,2023-10-11,5,5,3,13,553,Loyal Customers
C003979,20,32,533.84,16.6825,2024-07-20,2026-06-11,691,Misty Houston,Johnsonborough,Missouri,Niue,2023-10-21,5,5,3,13,553,Loyal Customers
C000810,38,31,1383.75,44.63709677419355,2024-08-09,2026-05-24,653,Linda Jones,Port Jadeburgh,Delaware,Bhutan,2023-12-27,4,5,4,13,454,Champions
C000149,33,32,1779.72,55.61625,2024-07-05,2026-05-29,693,Jamie Richardson,New John,Florida,Portugal,2024-05-03,4,5,4,13,454,Champions
C000529,16,26,1676.52,64.48153846153846,2024-07-18,2026-06-15,697,Elizabeth Smith,Davistown,Ohio,Turkey,2025-11-06,5,4,4,13,544,Champions
C004746,18,38,524.31,13.797631578947367,2024-06-25,2026-06-13,718,Edward Harrison,Port Terrance,Arizona,Faroe Islands,2024-04-04,5,5,3,13,553,Loyal Customers
C000263,99,35,2441.95,69.77,2024-04-20,2026-03-24,703,Sharon Harris,Lisaborough,Georgia,Mali,2025-01-30,3,5,5,13,355,Potential Loyalists
C002762,54,38,1154.48,30.38105263157895,2024-05-26,2026-05-08,712,Jason Fitzgerald,New David,Nebraska,Somalia,2023-11-22,4,5,4,13,454,Champions
C000776,83,30,1170.44,39.01466666666667,2024-05-11,2026-04-09,698,Michael Wright,West Christophershire,Indiana,Vanuatu,2023-10-18,4,5,4,13,454,Champions
C003729,24,35,582.32,16.63771428571429,2024-06-20,2026-06-07,717,Jeremy Yates,Kingview,Kansas,Belize,2024-09-13,5,5,3,13,553,Loyal Customers
C001014,37,35,1558.97,44.542,2024-06-27,2026-05-25,697,Eric Williams,Meyershire,Ohio,Saint Vincent and the Grenadines,2026-02-01,4,5,4,13,454,Champions
C000601,47,38,1647.05,43.34342105263158,2024-06-01,2026-05-15,713,Jasmine Russell,Lake Nancyside,Louisiana,Germany,2026-05-06,4,5,4,13,454,Champions
C002477,69,39,1452.16,37.2348717948718,2024-05-20,2026-04-23,703,Teresa Pittman,North Nicole,Minnesota,Thailand,2025-01-12,4,5,4,13,454,Champions
C001669,89,32,1258.25,39.3203125,2024-04-19,2026-04-03,714,Kelly Stewart,West Kevinville,Oregon,Spain,2025-04-16,4,5,4,13,454,Champions
C000600,10,34,911.52,26.80941176470588,2024-07-15,2026-06-21,706,Deborah Henderson,Mariahland,Hawaii,Guadeloupe,2026-06-03,5,5,3,13,553,Loyal Customers
C001536,19,32,909.6999999999999,28.428124999999998,2024-06-30,2026-06-12,712,Kenneth Lewis,East Emilyside,Minnesota,Cote d'Ivoire,2025-10-25,5,5,3,13,553,Loyal Customers
C000516,82,33,1707.32,51.736969696969695,2024-04-29,2026-04-10,711,David Hicks,Carolynport,Illinois,South Georgia and the South Sandwich Islands,2025-11-19,4,5,4,13,454,Champions
C001750,14,33,808.37,24.496060606060606,2024-08-18,2026-06-17,668,Aaron Allen,Harperborough,Texas,Niue,2023-11-12,5,5,3,13,553,Loyal Customers
C003930,14,36,535.12,14.864444444444445,2024-07-21,2026-06-17,696,Daniel Harris,Mercedesside,Minnesota,Cote d'Ivoire,2025-08-22,5,5,3,13,553,Loyal Customers
C001319,78,31,1197.13,38.61709677419355,2024-05-16,2026-04-14,698,Kristina Lawrence,East Megan,Hawaii,Venezuela,2025-08-30,4,5,4,13,454,Champions
C001322,80,31,1348.74,43.50774193548387,2024-05-14,2026-04-12,698,Randy Carter,Marialand,Mississippi,Ethiopia,2025-07-23,4,5,4,13,454,Champions
C000587,62,35,1825.06,52.144571428571425,2024-05-17,2026-04-30,713,Courtney Hurst,West Michaelport,Tennessee,Belgium,2025-11-20,4,5,4,13,454,Champions
C001694,54,37,1049.68,28.36972972972973,2024-07-20,2026-05-08,657,Erin Reid,West Aaron,Oklahoma,Argentina,2024-09-30,4,5,4,13,454,Champions
C001120,76,31,1552.58,50.08322580645161,2024-06-25,2026-04-16,660,Angela Osborne,Amandaburgh,Colorado,Cocos (Keeling) Islands,2025-11-13,4,5,4,13,454,Champions
C002781,20,35,667.3,19.065714285714286,2024-06-30,2026-06-11,711,Diana Gonzalez,Sandrafort,North Carolina,Thailand,2024-05-05,5,5,3,13,553,Loyal Customers
C000564,40,39,1223.51,31.37205128205128,2024-06-15,2026-05-22,706,Jared Allen,Smithbury,Arkansas,Gabon,2024-02-29,4,5,4,13,454,Champions
C001311,60,39,1158.8,29.71282051282051,2024-06-02,2026-05-02,699,John Flynn,West Robertville,North Carolina,Guinea-Bissau,2025-07-29,4,5,4,13,454,Champions
C000260,138,39,2342.76,60.07076923076924,2024-04-19,2026-02-13,665,Marc Blake,Dominicport,Kentucky,Saint Helena,2026-03-23,3,5,5,13,355,Potential Loyalists
C001284,90,32,1090.37,34.0740625,2024-07-08,2026-04-02,633,Michael Conner,Allenfort,Arizona,Libyan Arab Jamahiriya,2026-02-08,4,5,4,13,454,Champions
C002761,57,37,1203.07,32.5154054054054,2024-05-18,2026-05-05,717,Christina Holloway,East Willie,Michigan,Palestinian Territory,2024-12-14,4,5,4,13,454,Champions
C002976,20,39,704.01,18.05153846153846,2024-07-05,2026-06-11,706,Robert Jones,North Paul,Florida,Turks and Caicos Islands,2024-07-04,5,5,3,13,553,Loyal Customers
C001986,21,33,723.8,21.933333333333334,2024-06-27,2026-06-10,713,Amanda Brown,Olsonburgh,Florida,United States Minor Outlying Islands,2023-12-25,5,5,3,13,553,Loyal Customers
C001292,85,38,1635.1100000000001,43.029210526315794,2024-08-23,2026-04-07,592,Gregory Walker,South Maria,Missouri,Ecuador,2024-10-29,4,5,4,13,454,Champions
C002972,28,39,674.27,17.288974358974357,2024-07-01,2026-06-03,702,Adam Jones,Aliciatown,Missouri,Portugal,2025-04-23,5,5,3,13,553,Loyal Customers
C000206,83,37,1934.04,52.27135135135135,2024-04-20,2026-04-09,719,Amanda Pennington,South Michael,New York,Tunisia,2025-02-17,4,5,4,13,454,Champions
C001576,21,31,709.01,22.871290322580645,2024-06-22,2026-06-10,718,Matthew Hernandez,South Jacobmouth,Wyoming,Faroe Islands,2025-09-13,5,5,3,13,553,Loyal Customers
C001265,74,36,1402.42,38.95611111111111,2024-04-25,2026-04-18,723,Bradley Marquez,West Alejandroville,South Carolina,Madagascar,2025-02-11,4,5,4,13,454,Champions
C001074,52,37,1107.62,29.93567567567567,2024-06-16,2026-05-10,693,Christopher Clark,Richardsonchester,Virginia,Namibia,2024-06-06,4,5,4,13,454,Champions
C001726,20,39,994.63,25.503333333333334,2024-06-19,2026-06-11,722,Mike Padilla,Torresland,Massachusetts,United Arab Emirates,2024-11-30,5,5,3,13,553,Loyal Customers
C003911,30,35,652.86,18.653142857142857,2024-06-30,2026-06-01,701,Kelly Foster,Ramirezbury,Indiana,Uruguay,2024-05-19,5,5,3,13,553,Loyal Customers
C004342,24,32,597.02,18.656875,2024-07-13,2026-06-07,694,Paige Hayden,Dylanton,Nevada,Yemen,2024-06-03,5,5,3,13,553,Loyal Customers
C003963,27,30,565.4,18.846666666666668,2024-06-07,2026-06-04,727,Tracy Davis,Delgadofurt,Mississippi,Seychelles,2023-10-13,5,5,3,13,553,Loyal Customers
C004418,23,34,509.87,14.996176470588235,2024-08-26,2026-06-08,651,Robert Harrison,Macdonaldmouth,Indiana,Greenland,2024-03-14,5,5,3,13,553,Loyal Customers
C000030,124,31,2245.74,72.44322580645161,2024-04-20,2026-02-27,678,Corey Carter,New Chloe,Oregon,Cambodia,2024-08-09,3,5,5,13,355,Potential Loyalists
C002155,14,39,859.18,22.03025641025641,2024-07-23,2026-06-17,694,Connie Gill,Perezbury,Montana,Guinea,2024-06-14,5,5,3,13,553,Loyal Customers
C000408,60,33,1711.08,51.85090909090909,2024-05-27,2026-05-02,705,James Carter,East Gregg,Missouri,Cameroon,2026-01-30,4,5,4,13,454,Champions
C000006,114,32,2106.67,65.8334375,2024-05-18,2026-03-09,660,John Tate,Michaelmouth,Rhode Island,Brunei Darussalam,2024-11-14,3,5,5,13,355,Potential Loyalists
C002157,37,39,1164.06,29.847692307692306,2024-05-29,2026-05-25,726,Thomas Singleton,North Ashleyland,Hawaii,Colombia,2026-05-29,4,5,4,13,454,Champions
C001203,63,38,1102.68,29.017894736842106,2024-05-20,2026-04-29,709,Ashley Miller,South Mariahton,New Mexico,Algeria,2024-06-29,4,5,4,13,454,Champions
C001213,70,35,1363.0,38.94285714285714,2024-06-07,2026-04-22,684,Kevin Anderson,New Brian,Nebraska,United States of America,2026-02-17,4,5,4,13,454,Champions
C001622,53,39,1017.65,26.093589743589742,2024-06-12,2026-05-09,696,Anna Davidson,New Brandonton,Arkansas,French Polynesia,2024-04-25,4,5,4,13,454,Champions
C000641,48,24,1247.53,51.98041666666666,2024-06-25,2026-05-14,688,Scott Knight,North Laurenstad,North Dakota,Afghanistan,2024-08-04,4,4,4,12,444,Champions
C005572,18,38,447.46,11.775263157894736,2024-06-24,2026-06-13,719,Michael Cannon,East Michael,Arkansas,Benin,2026-06-10,5,5,2,12,552,Regular Customers
C004382,26,39,435.01,11.154102564102564,2024-06-07,2026-06-05,728,David Huber,Jacobborough,Arizona,Zambia,2026-03-18,5,5,2,12,552,Regular Customers
C004379,86,39,582.32,14.931282051282052,2024-04-17,2026-04-06,719,Denise Ward,Walkerland,Tennessee,Uruguay,2024-05-07,4,5,3,12,453,Loyal Customers
C000668,96,34,1137.68,33.461176470588235,2024-06-04,2026-03-27,661,Tiffany Mann,New Jared,Massachusetts,Saint Barthelemy,2024-06-01,3,5,4,12,354,Potential Loyalists
C001418,89,25,1078.5,43.14,2024-05-07,2026-04-03,696,Adam Campbell,East Cathyfurt,Rhode Island,Mayotte,2026-01-24,4,4,4,12,444,Champions
C000902,21,29,868.42,29.94551724137931,2024-06-30,2026-06-10,710,Pamela Guzman,Amandamouth,Louisiana,Svalbard & Jan Mayen Islands,2025-08-17,5,4,3,12,543,Loyal Customers
C005415,27,36,347.86,9.662777777777778,2024-08-16,2026-06-04,657,Ryan Saunders,Ashleyberg,Michigan,Bouvet Island (Bouvetoya),2025-07-14,5,5,2,12,552,Regular Customers
C004281,39,37,600.92,16.24108108108108,2024-06-07,2026-05-23,715,Christopher Burton Jr.,Edwardchester,Connecticut,Dominica,2026-03-26,4,5,3,12,453,Loyal Customers
C000041,43,19,1224.14,64.42842105263158,2024-09-04,2026-05-19,622,Jesse Pruitt,Ellisland,North Carolina,Bouvet Island (Bouvetoya),2024-02-12,4,4,4,12,444,Champions
C000011,58,19,1337.93,70.41736842105263,2024-05-10,2026-05-04,724,Samantha Fernandez,Salaston,Alabama,Anguilla,2025-11-27,4,4,4,12,444,Champions
C000022,106,32,1797.95,56.1859375,2024-04-05,2026-03-17,711,Anthony Murray,Cherylborough,Tennessee,Rwanda,2026-01-22,3,5,4,12,354,Potential Loyalists
C003672,54,33,649.05,19.668181818181818,2024-06-13,2026-05-08,694,David Wood,Freemanmouth,Wyoming,Vanuatu,2023-08-16,4,5,3,12,453,Loyal Customers
C003632,74,39,559.62,14.34923076923077,2024-04-28,2026-04-18,720,Chelsea Salazar,Buchanantown,Tennessee,Monaco,2026-07-14,4,5,3,12,453,Loyal Customers
C003689,70,39,622.26,15.955384615384615,2024-05-06,2026-04-22,716,Jennifer Scott,Joshuaburgh,New Mexico,Korea,2025-12-16,4,5,3,12,453,Loyal Customers
C000100,39,25,1553.59,62.1436,2024-06-11,2026-05-23,711,Crystal Miller,Silvaton,Georgia,Malta,2023-10-08,4,4,4,12,444,Champions
C000101,70,18,1142.45,63.46944444444445,2024-05-05,2026-04-22,717,Sean Turner,Williamsonfurt,Massachusetts,Zambia,2024-08-25,4,4,4,12,444,Champions
C000110,44,26,1015.44,39.05538461538462,2024-06-25,2026-05-18,692,Janice Porter,East Monica,Kansas,Niue,2025-09-27,4,4,4,12,444,Champions
C003690,66,33,729.24,22.098181818181818,2024-07-15,2026-04-26,650,Andrea Flores,Odonnellfort,California,France,2026-03-21,4,5,3,12,453,Loyal Customers
C002830,20,27,501.59,18.577407407407406,2024-07-28,2026-06-11,683,Christopher Cooper,Sandraside,Kentucky,Western Sahara,2025-03-26,5,4,3,12,543,Loyal Customers
C001048,66,26,1004.29,38.62653846153846,2024-06-17,2026-04-26,678,Jesus Gamble,West Charlesstad,Kentucky,Congo,2026-05-16,4,4,4,12,444,Champions
C002545,31,31,569.37,18.366774193548387,2024-06-25,2026-05-31,705,Andrew King,Williamshire,Kansas,Peru,2024-12-12,4,5,3,12,453,Loyal Customers
C005541,22,35,369.32,10.552,2024-07-16,2026-06-09,693,Amy Medina,Johnland,Maine,Luxembourg,2025-11-14,5,5,2,12,552,Regular Customers
C003959,43,35,572.75,16.364285714285714,2024-06-06,2026-05-19,712,Amanda Sanchez,Lake Robynborough,Texas,El Salvador,2025-01-22,4,5,3,12,453,Loyal Customers
