revenue_rank,customer_id,customer_name,amount,customer_pct,cumulative_pct,pareto_group
66,C000319,Brooke Salazar,1448.66,1.1,10.8,Top 20%
67,C000335,Kelly Stanley,1424.73,1.1,10.9,Top 20%
68,C000926,Dylan Ortiz,1419.78,1.1,11.1,Top 20%
69,C000207,Breanna Taylor,1415.81,1.2,11.2,Top 20%
70,C001902,Dr. Terri Gardner MD,1407.6,1.2,11.3,Top 20%
71,C000946,Samantha Chen,1407.3,1.2,11.5,Top 20%
72,C001259,Lisa Bender,1405.19,1.2,11.6,Top 20%
73,C001265,Bradley Marquez,1402.42,1.2,11.7,Top 20%
74,C001910,Parker Hernandez,1401.01,1.2,11.8,Top 20%
75,C000357,Michael Smith,1393.08,1.2,12.0,Top 20%
76,C000354,Melissa Aguirre,1391.51,1.3,12.1,Top 20%
77,C000169,Lisa Brown,1389.89,1.3,12.2,Top 20%
78,C000810,Linda Jones,1383.75,1.3,12.3,Top 20%
79,C001068,Patricia Shaw,1377.3,1.3,12.5,Top 20%
80,C000931,Darryl Costa,1368.94,1.3,12.6,Top 20%
81,C000851,Lori Cohen,1368.75,1.4,12.7,Top 20%
82,C001222,Elizabeth Davies,1366.83,1.4,12.8,Top 20%
83,C001213,Kevin Anderson,1363.0,1.4,12.9,Top 20%
84,C000699,Daniel Gould,1359.63,1.4,13.1,Top 20%
85,C002427,Michelle Mcintosh,1353.4,1.4,13.2,Top 20%
86,C002069,Sarah Bailey,1350.78,1.4,13.3,Top 20%
87,C000614,Barbara Thomas,1349.31,1.4,13.4,Top 20%
88,C001322,Randy Carter,1348.74,1.5,13.6,Top 20%
89,C000011,Samantha Fernandez,1337.93,1.5,13.7,Top 20%
90,C000673,Kara Curry,1335.81,1.5,13.8,Top 20%
91,C000355,Melinda Ward,1335.16,1.5,13.9,Top 20%
92,C000084,Christina Norton,1327.85,1.5,14.0,Top 20%
93,C000312,Shari Juarez DDS,1321.8899999999999,1.6,14.2,Top 20%
94,C000547,Karen Jones,1315.7,1.6,14.3,Top 20%
95,C001381,Karen Jones,1309.27,1.6,14.4,Top 20%
96,C001712,Wendy Petersen,1286.03,1.6,14.5,Top 20%
97,C000847,Jamie Carrillo,1276.68,1.6,14.6,Top 20%
98,C000833,Melanie Perez,1272.94,1.6,14.7,Top 20%
99,C000435,Thomas Navarro,1265.02,1.6,14.8,Top 20%
100,C001185,Dennis Jordan,1264.16,1.7,15.0,Top 20%
101,C001669,Kelly Stewart,1258.25,1.7,15.1,Top 20%
102,C000705,Dr. Emily Miller,1253.83,1.7,15.2,Top 20%
103,C000590,Christopher Bryan,1252.18,1.7,15.3,Top 20%
104,C001298,Brandi Peters,1250.65,1.7,15.4,Top 20%
105,C000641,Scott Knight,1247.53,1.8,15.5,Top 20%
106,C000695,Daniel Scott,1232.24,1.8,15.6,Top 20%
107,C001711,Lisa Robertson,1230.0,1.8,15.7,Top 20%
108,C000845,Angela Edwards,1225.22,1.8,15.9,Top 20%
109,C000041,Jesse Pruitt,1224.14,1.8,16.0,Top 20%
110,C000564,Jared Allen,1223.51,1.8,16.1,Top 20%
111,C000371,Dennis Garcia,1216.8600000000001,1.8,16.2,Top 20%
112,C002761,Christina Holloway,1203.07,1.9,16.3,Top 20%
113,C000876,Brittany Pruitt,1197.84,1.9,16.4,Top 20%
114,C001319,Kristina Lawrence,1197.13,1.9,16.5,Top 20%
115,C000477,Tammie Anderson,1193.62,1.9,16.6,Top 20%
116,C000557,Mark Rodriguez,1192.92,1.9,16.7,Top 20%
117,C000947,Luis Kent,1189.57,2.0,16.8,Top 20%
118,C001178,Miss Sandra White MD,1188.48,2.0,16.9,Top 20%
119,C000996,Austin Perkins,1184.3700000000001,2.0,17.0,Top 20%
120,C001401,Amy West,1180.26,2.0,17.2,Top 20%
121,C000776,Michael Wright,1170.44,2.0,17.3,Top 20%
122,C002157,Thomas Singleton,1164.06,2.0,17.4,Top 20%
123,C001311,John Flynn,1158.8,2.0,17.5,Top 20%
124,C001887,Emily Mccormick,1157.42,2.1,17.6,Top 20%
125,C002339,Christopher Evans,1156.37,2.1,17.7,Top 20%
126,C001847,Eric Thompson,1155.85,2.1,17.8,Top 20%
127,C002762,Jason Fitzgerald,1154.48,2.1,17.9,Top 20%
128,C001366,Desiree Perez,1153.13,2.1,18.0,Top 20%
129,C000889,Lisa Cook,1152.91,2.2,18.1,Top 20%
130,C000773,Caroline Compton,1152.48,2.2,18.2,Top 20%
131,C002686,Nathan Anderson,1146.46,2.2,18.3,Top 20%
132,C002418,Dana Marshall,1143.75,2.2,18.4,Top 20%
133,C000883,Darius Wilson,1142.87,2.2,18.5,Top 20%
134,C000101,Sean Turner,1142.45,2.2,18.6,Top 20%
135,C000668,Tiffany Mann,1137.68,2.2,18.7,Top 20%
136,C002456,Steven Watson,1137.5,2.3,18.8,Top 20%
137,C000080,Jared Jordan,1130.87,2.3,18.9,Top 20%
138,C000791,Anna Gross,1127.92,2.3,19.0,Top 20%
139,C003034,Joseph Nelson,1125.04,2.3,19.1,Top 20%
140,C001287,Juan Thompson,1124.82,2.3,19.2,Top 20%
141,C002538,Kristen Campbell,1121.48,2.4,19.3,Top 20%
142,C000434,Frederick Johnson,1115.14,2.4,19.4,Top 20%
143,C002358,Richard Tucker,1112.1399999999999,2.4,19.5,Top 20%
144,C000340,Ryan Craig,1108.61,2.4,19.6,Top 20%
145,C001572,Joel Nelson,1107.92,2.4,19.7,Top 20%
146,C001074,Christopher Clark,1107.62,2.4,19.8,Top 20%
147,C001203,Ashley Miller,1102.68,2.4,19.9,Top 20%
148,C000378,James Hogan,1101.97,2.5,20.0,Top 20%
149,C001814,Michael Rodriguez,1101.62,2.5,20.1,Top 20%
150,C000255,Kelly Jacobs,1097.09,2.5,20.2,Top 20%
151,C001810,Steven Williams,1096.65,2.5,20.3,Top 20%
152,C000295,Gregory Hernandez,1093.69,2.5,20.4,Top 20%
153,C001598,Shannon Hughes,1091.18,2.6,20.5,Top 20%
154,C001284,Michael Conner,1090.37,2.6,20.6,Top 20%
155,C000124,Amanda Jones,1085.46,2.6,20.7,Top 20%
156,C001577,Alexandra Case,1084.27,2.6,20.8,Top 20%
157,C000301,Tyler Baker,1082.71,2.6,20.9,Top 20%
158,C000998,Cameron Alvarado,1081.21,2.6,21.0,Top 20%
159,C000506,Ronald Nunez,1078.88,2.6,21.1,Top 20%
160,C001418,Adam Campbell,1078.5,2.7,21.2,Top 20%
161,C001885,Angel Dixon,1069.91,2.7,21.3,Top 20%
162,C001796,Anna Arnold,1064.8,2.7,21.4,Top 20%
163,C001435,Susan Huang,1061.26,2.7,21.5,Top 20%
164,C000286,Jeffrey Cole,1059.38,2.7,21.6,Top 20%
165,C001248,Jessica Christian,1054.51,2.8,21.7,Top 20%
166,C001694,Erin Reid,1049.68,2.8,21.8,Top 20%
167,C000059,Nancy Smith,1043.46,2.8,21.9,Top 20%
168,C002232,Jackson Sims,1042.4,2.8,22.0,Top 20%
169,C001647,Debbie Stephenson,1040.4,2.8,22.0,Top 20%
170,C000334,Rebecca Brown,1036.92,2.8,22.1,Top 20%
171,C001127,Robert Haynes,1035.5,2.8,22.2,Top 20%
172,C002440,Brittney Rodriguez,1035.46,2.9,22.3,Top 20%
173,C000450,Jason Hansen,1034.62,2.9,22.4,Top 20%
174,C000975,Ryan Mora,1034.23,2.9,22.5,Top 20%
175,C000020,Jeffrey Diaz,1033.2,2.9,22.6,Top 20%
176,C001940,Adam Johnson,1030.99,2.9,22.7,Top 20%
177,C001088,Jeremy Miller MD,1028.85,3.0,22.8,Top 20%
178,C000704,Carl White,1025.32,3.0,22.9,Top 20%
179,C000245,John Mcintyre,1023.7,3.0,23.0,Top 20%
180,C001110,Aaron Mills,1023.36,3.0,23.1,Top 20%
181,C001622,Anna Davidson,1017.65,3.0,23.2,Top 20%
182,C000110,Janice Porter,1015.44,3.0,23.3,Top 20%
183,C001524,Margaret Stewart,1014.62,3.0,23.3,Top 20%
184,C000822,Michael Foster,1010.06,3.1,23.4,Top 20%
185,C001048,Jesus Gamble,1004.29,3.1,23.5,Top 20%
186,C001992,Kelly Gray,1003.1800000000001,3.1,23.6,Top 20%
187,C002065,Kevin Hays,1000.61,3.1,23.7,Top 20%
188,C001726,Mike Padilla,994.63,3.1,23.8,Top 20%
189,C001542,Timothy Hansen,993.36,3.2,23.9,Top 20%
190,C002833,Jennifer Lawson,990.01,3.2,24.0,Top 20%
191,C001948,Jane Jackson,989.61,3.2,24.1,Top 20%
192,C002778,Craig Smith,988.53,3.2,24.2,Top 20%
193,C000043,Alexis Jordan,978.87,3.2,24.2,Top 20%
194,C001200,Antonio Brooks,976.82,3.2,24.3,Top 20%
195,C001290,Dawn Moreno,975.9200000000001,3.2,24.4,Top 20%
196,C002316,Riley Hood,968.0699999999999,3.3,24.5,Top 20%
197,C000471,Destiny Franco,967.5799999999999,3.3,24.6,Top 20%
198,C002995,Richard Burton,962.41,3.3,24.7,Top 20%
199,C001388,Jessica Vaughn,959.46,3.3,24.8,Top 20%
200,C002050,Rebecca Zimmerman,959.25,3.3,24.8,Top 20%
201,C001427,Joshua Anderson,954.66,3.4,24.9,Top 20%
202,C001586,Vanessa Hernandez,953.68,3.4,25.0,Top 20%
203,C000441,Anna Warren,950.95,3.4,25.1,Top 20%
204,C000423,Diane Bailey,950.61,3.4,25.2,Top 20%
205,C002612,Clifford Lucas,949.62,3.4,25.3,Top 20%
206,C000437,Joseph Campos,946.04,3.4,25.4,Top 20%
207,C003010,Jay Johnston,945.04,3.4,25.4,Top 20%
208,C001276,Thomas Williams,943.08,3.5,25.5,Top 20%
209,C001827,Ashley Graham,941.96,3.5,25.6,Top 20%
210,C001985,Katherine Spencer,940.5400000000001,3.5,25.7,Top 20%
211,C000591,Kristen Coleman,939.36,3.5,25.8,Top 20%
212,C001791,Makayla Flynn,936.25,3.5,25.9,Top 20%
213,C002356,Karen Rose,936.15,3.6,26.0,Top 20%
214,C001549,Robert Hicks,934.39,3.6,26.0,Top 20%
215,C000765,Jason Hudson,934.03,3.6,26.1,Top 20%
216,C001133,Brittany Roach,932.27,3.6,26.2,Top 20%
217,C002610,Samuel Buchanan,929.12,3.6,26.3,Top 20%
218,C001035,Allen Stokes,920.05,3.6,26.4,Top 20%
219,C001815,Erin Fry,919.69,3.6,26.5,Top 20%
220,C000588,Jose Lewis,919.24,3.7,26.5,Top 20%
221,C002744,Margaret Chapman,918.78,3.7,26.6,Top 20%
222,C000172,Jean Richards,918.3199999999999,3.7,26.7,Top 20%
223,C001837,Robert Coleman,914.63,3.7,26.8,Top 20%
224,C001891,Rebecca Tucker,912.9499999999999,3.7,26.9,Top 20%
225,C000600,Deborah Henderson,911.52,3.8,26.9,Top 20%
226,C001536,Kenneth Lewis,909.6999999999999,3.8,27.0,Top 20%
227,C001685,Daniel Berry,909.17,3.8,27.1,Top 20%
228,C001466,James Brooks,909.02,3.8,27.2,Top 20%
229,C001568,Mary Miller,908.0799999999999,3.8,27.3,Top 20%
230,C001868,Patrick Garcia,906.18,3.8,27.4,Top 20%
231,C002634,Michael Martin,905.2,3.8,27.4,Top 20%
232,C000057,Caroline Bailey,902.9200000000001,3.9,27.5,Top 20%
233,C001339,Logan Aguilar,896.5699999999999,3.9,27.6,Top 20%
234,C000072,Sara Guerrero,894.11,3.9,27.7,Top 20%
235,C002251,Kelly Chavez,892.65,3.9,27.8,Top 20%
236,C000410,Jonathan Graham,886.29,3.9,27.8,Top 20%
237,C001514,Jeremy Hancock,882.94,4.0,27.9,Top 20%
238,C001697,Jack Castro,882.44,4.0,28.0,Top 20%
239,C000730,Larry Elliott,880.0,4.0,28.1,Top 20%
240,C000656,Tammy Butler,872.14,4.0,28.2,Top 20%
241,C002534,Juan Larsen,872.01,4.0,28.2,Top 20%
242,C002204,Mark Diaz,871.15,4.0,28.3,Top 20%
243,C000902,Pamela Guzman,868.42,4.0,28.4,Top 20%
244,C001195,Francisco Scott,867.84,4.1,28.5,Top 20%
245,C001516,Mrs. Megan Price,866.33,4.1,28.6,Top 20%
246,C001050,Miss Kristen Tran,865.87,4.1,28.6,Top 20%
247,C000238,Rebecca Sims,864.42,4.1,28.7,Top 20%
248,C001162,Erin King,863.1700000000001,4.1,28.8,Top 20%
249,C000677,Mary Wallace,862.37,4.2,28.9,Top 20%
250,C002940,Virginia Jordan,861.42,4.2,28.9,Top 20%
251,C002155,Connie Gill,859.18,4.2,29.0,Top 20%
252,C002901,Devin Cisneros,856.89,4.2,29.1,Top 20%
253,C001289,Rebecca Gibbs,855.55,4.2,29.2,Top 20%
254,C000558,Daniel Curtis,854.05,4.2,29.2,Top 20%
255,C002132,Michael Cox,847.67,4.2,29.3,Top 20%
256,C002213,Ashlee Richards,846.89,4.3,29.4,Top 20%
257,C001442,Alexander Lee,846.0899999999999,4.3,29.5,Top 20%
258,C000645,Madeline Dunlap,844.14,4.3,29.6,Top 20%
259,C002683,Courtney Wilson,840.97,4.3,29.6,Top 20%
260,C000461,Christopher Lewis,838.55,4.3,29.7,Top 20%
261,C000629,Mr. Larry Wallace,835.67,4.4,29.8,Top 20%
262,C001320,Wyatt Morris,832.14,4.4,29.9,Top 20%
263,C001082,Michelle Lambert,831.46,4.4,29.9,Top 20%
264,C001482,Carrie Henderson,830.0799999999999,4.4,30.0,Top 20%
265,C001101,Timothy Brown,829.37,4.4,30.1,Top 20%
266,C002280,Alyssa Rogers,828.64,4.4,30.2,Top 20%
267,C000040,Evan Landry,828.1,4.4,30.2,Top 20%
268,C001160,Michael Wheeler,827.67,4.5,30.3,Top 20%
269,C002343,Justin Campos,826.65,4.5,30.4,Top 20%
270,C001677,Melissa Waters,822.06,4.5,30.4,Top 20%
271,C002330,Tonya Douglas,817.2,4.5,30.5,Top 20%
272,C001747,Jeanette Anthony,817.04,4.5,30.6,Top 20%
273,C000819,Michael Phillips,817.02,4.6,30.7,Top 20%
274,C000875,Manuel Owens,815.11,4.6,30.7,Top 20%
275,C002202,Kurt Stone,814.31,4.6,30.8,Top 20%
276,C000723,Tiffany Carpenter,813.78,4.6,30.9,Top 20%
277,C001266,Barry Glass,813.04,4.6,31.0,Top 20%
278,C000457,Michael Gonzalez,811.76,4.6,31.0,Top 20%
279,C000223,Jose Andrews,808.5699999999999,4.6,31.1,Top 20%
280,C001750,Aaron Allen,808.37,4.7,31.2,Top 20%
281,C000651,Maurice Brown,808.1,4.7,31.3,Top 20%
282,C001922,Theresa Simmons,807.8199999999999,4.7,31.3,Top 20%
283,C001655,Victoria Sanchez,806.74,4.7,31.4,Top 20%
284,C001031,Sandra Bradford,804.96,4.7,31.5,Top 20%
285,C000078,Sandy Nichols,804.76,4.8,31.5,Top 20%
286,C002014,Amanda Kelly,804.71,4.8,31.6,Top 20%
287,C001722,Jordan Carter,803.08,4.8,31.7,Top 20%
288,C002797,George Chen,802.86,4.8,31.8,Top 20%
289,C002422,Charlene Jennings,798.99,4.8,31.8,Top 20%
290,C001800,Derrick Parrish,798.11,4.8,31.9,Top 20%
291,C000459,Diane Coleman,793.62,4.8,32.0,Top 20%
292,C001254,Laurie Davidson,792.99,4.9,32.0,Top 20%
293,C003504,Luis Lopez,791.21,4.9,32.1,Top 20%
294,C000417,Robert Petty,789.17,4.9,32.2,Top 20%
295,C000589,Paula Brown,780.38,4.9,32.3,Top 20%
296,C001423,Sarah Palmer,775.69,4.9,32.3,Top 20%
297,C002563,Brianna Henderson,775.11,5.0,32.4,Top 20%
298,C000333,Erin Potts,774.84,5.0,32.5,Top 20%
299,C003462,Willie Booth,774.13,5.0,32.5,Top 20%
300,C003810,Randall Evans,773.54,5.0,32.6,Top 20%
301,C001645,Eric Turner,773.35,5.0,32.7,Top 20%
302,C000498,David Smith,771.58,5.0,32.7,Top 20%
303,C003165,Matthew Ritter,769.42,5.0,32.8,Top 20%
304,C002116,Christine Ruiz,769.08,5.1,32.9,Top 20%
305,C002119,Carlos Larson,767.34,5.1,33.0,Top 20%
306,C000284,Michael Velasquez,765.88,5.1,33.0,Top 20%
307,C003058,Alicia Vang,765.05,5.1,33.1,Top 20%
308,C003264,Melissa Lucero,764.65,5.1,33.2,Top 20%
309,C000961,Sean Pruitt,764.4399999999999,5.2,33.2,Top 20%
310,C000860,Daniel Moreno,762.82,5.2,33.3,Top 20%
311,C002936,Shannon Martin,759.79,5.2,33.4,Top 20%
312,C002247,Rita Lee,758.02,5.2,33.4,Top 20%
313,C002284,Joshua Parker,756.6999999999999,5.2,33.5,Top 20%
314,C002550,Angela Ford,755.39,5.2,33.6,Top 20%
315,C003865,Ms. Kathleen Washington,754.82,5.2,33.6,Top 20%
316,C001605,Tina Gonzalez,753.26,5.3,33.7,Top 20%
317,C002828,Nicholas Joseph,751.75,5.3,33.8,Top 20%
318,C002082,Susan Michael,744.34,5.3,33.8,Top 20%
319,C001753,Frank Rice,743.4499999999999,5.3,33.9,Top 20%
320,C003123,Kevin Cook,743.25,5.3,34.0,Top 20%
321,C003062,Jennifer Moreno,742.39,5.4,34.0,Top 20%
322,C003229,David Pierce,741.99,5.4,34.1,Top 20%
323,C001494,Tracy Mcgee,741.98,5.4,34.2,Top 20%
324,C003322,Kelly Cross,741.56,5.4,34.2,Top 20%
325,C000795,Rita Barron,741.05,5.4,34.3,Top 20%
326,C003217,Jon Atkins,737.88,5.4,34.4,Top 20%
327,C003318,Kimberly Smith,736.06,5.4,34.4,Top 20%
328,C002978,Kimberly Smith,735.39,5.5,34.5,Top 20%
329,C002529,Renee Williams,734.55,5.5,34.6,Top 20%
330,C001424,Sandra Hayes,732.42,5.5,34.6,Top 20%
331,C001279,Mackenzie Roberts,732.15,5.5,34.7,Top 20%
332,C003690,Andrea Flores,729.24,5.5,34.8,Top 20%
333,C001455,Christopher Thompson,727.85,5.6,34.8,Top 20%
334,C001795,Olivia Mccoy,726.62,5.6,34.9,Top 20%
335,C003536,Andrew Boone,724.66,5.6,35.0,Top 20%
336,C003101,Emily Lee,724.44,5.6,35.0,Top 20%
337,C001986,Amanda Brown,723.8,5.6,35.1,Top 20%
338,C001593,Tonya Jones,721.9599999999999,5.6,35.2,Top 20%
339,C000291,Rachel Anderson,720.7,5.6,35.2,Top 20%
340,C002858,Eric Ellis,719.07,5.7,35.3,Top 20%
341,C000731,James Bryant,718.71,5.7,35.4,Top 20%
342,C002009,Ryan Edwards,718.46,5.7,35.4,Top 20%
343,C002012,John Lambert,716.74,5.7,35.5,Top 20%
344,C002044,Nicholas Fox,716.42,5.7,35.6,Top 20%
345,C001039,Tara Vazquez,715.78,5.8,35.6,Top 20%
346,C003272,Michael Davidson,712.76,5.8,35.7,Top 20%
347,C001414,Miranda Rodriguez,712.74,5.8,35.7,Top 20%
348,C001998,Charles Farley,710.62,5.8,35.8,Top 20%
349,C001576,Matthew Hernandez,709.01,5.8,35.9,Top 20%
350,C002361,Angela Brown,708.66,5.8,35.9,Top 20%
351,C000939,Joseph Dougherty,708.16,5.8,36.0,Top 20%
352,C002777,Justin Larson,706.9,5.9,36.1,Top 20%
353,C002903,Danielle Cruz,706.34,5.9,36.1,Top 20%
354,C000060,Frances Williams,706.2,5.9,36.2,Top 20%
355,C003668,Theresa Campbell,705.0,5.9,36.3,Top 20%
356,C002976,Robert Jones,704.01,5.9,36.3,Top 20%
357,C002627,Linda Newman,703.27,6.0,36.4,Top 20%
358,C002587,Martin Rogers,702.32,6.0,36.4,Top 20%
359,C002398,John Bowman,702.02,6.0,36.5,Top 20%
360,C002061,Charles Mcintyre,698.88,6.0,36.6,Top 20%
361,C001247,Corey Banks,692.5799999999999,6.0,36.6,Top 20%
362,C001412,Dale Keller,690.12,6.0,36.7,Top 20%
363,C003589,Kylie Hart,688.91,6.0,36.8,Top 20%
364,C000602,Levi Turner,688.37,6.1,36.8,Top 20%
365,C000665,David Davis,686.8299999999999,6.1,36.9,Top 20%
366,C001869,Matthew Long DDS,685.53,6.1,36.9,Top 20%
367,C001393,Emily Anderson,682.05,6.1,37.0,Top 20%
368,C002307,Kenneth Becker,681.74,6.1,37.1,Top 20%
369,C001402,Ryan Norton,679.3,6.2,37.1,Top 20%
370,C002602,Joseph Beck,679.26,6.2,37.2,Top 20%
371,C000841,Harry Lewis,676.46,6.2,37.2,Top 20%
372,C002972,Adam Jones,674.27,6.2,37.3,Top 20%
373,C001904,Stephanie Schneider,671.49,6.2,37.4,Top 20%
374,C003946,Angela Hernandez,669.54,6.2,37.4,Top 20%
375,C002296,Scott Thomas,668.3,6.2,37.5,Top 20%
376,C003795,Michael Martinez,667.8,6.3,37.6,Top 20%
377,C002781,Diana Gonzalez,667.3,6.3,37.6,Top 20%
378,C001492,William Mccarthy,666.47,6.3,37.7,Top 20%
379,C000381,Michael Patton,665.65,6.3,37.7,Top 20%
380,C001403,Kristin Smith,665.35,6.3,37.8,Top 20%
381,C000727,Sarah Martin,664.55,6.4,37.9,Top 20%
382,C001961,Mary Watson,664.51,6.4,37.9,Top 20%
383,C000099,Brandon Hernandez,662.78,6.4,38.0,Top 20%
384,C001503,Calvin Mayer,662.63,6.4,38.0,Top 20%
385,C003254,Olivia Villanueva,662.5600000000001,6.4,38.1,Top 20%
386,C001706,Suzanne Hamilton,661.4200000000001,6.4,38.1,Top 20%
387,C002299,Wendy Drake,660.6999999999999,6.4,38.2,Top 20%
388,C002581,Brittany Patel,660.22,6.5,38.3,Top 20%
389,C000515,Caitlin Gonzalez,659.0600000000001,6.5,38.3,Top 20%
390,C000176,Alexandria Crosby,653.34,6.5,38.4,Top 20%
391,C003911,Kelly Foster,652.86,6.5,38.4,Top 20%
392,C000802,Haley Berg,651.6,6.5,38.5,Top 20%
393,C002332,Ricky Sanchez,650.03,6.6,38.6,Top 20%
394,C003672,David Wood,649.05,6.6,38.6,Top 20%
395,C004237,Jeffery Rodriguez,644.01,6.6,38.7,Top 20%
396,C000983,Casey Ramos,643.47,6.6,38.7,Top 20%
397,C000062,Laura Potts,641.47,6.6,38.8,Top 20%
398,C003223,Megan Thompson,641.44,6.6,38.9,Top 20%
399,C003856,Douglas Conner,640.68,6.6,38.9,Top 20%
400,C000165,Jay Gonzalez,640.56,6.7,39.0,Top 20%
401,C002607,Randy Perez,640.14,6.7,39.0,Top 20%
402,C001297,George Petersen,639.75,6.7,39.1,Top 20%
403,C003099,Christina Wallace,637.4300000000001,6.7,39.1,Top 20%
404,C001926,David Cox,636.65,6.7,39.2,Top 20%
405,C000269,Amanda Hill,636.25,6.8,39.3,Top 20%
406,C001798,Henry Krueger,635.92,6.8,39.3,Top 20%
407,C003471,Dorothy Diaz,635.01,6.8,39.4,Top 20%
408,C002715,Austin Mclaughlin,634.91,6.8,39.4,Top 20%
409,C000460,Stephanie Freeman,634.42,6.8,39.5,Top 20%
410,C002037,Barbara Andrews,633.36,6.8,39.5,Top 20%
411,C002760,Angela French,633.1,6.8,39.6,Top 20%
412,C003783,Alexander Pratt,632.77,6.9,39.7,Top 20%
413,C001217,Monica Booth,631.07,6.9,39.7,Top 20%
414,C002103,Molly Chandler,630.71,6.9,39.8,Top 20%
415,C002818,Shane Bray,630.69,6.9,39.8,Top 20%
416,C004235,Jeffrey Roberson,630.65,6.9,39.9,Top 20%
417,C001763,Lorraine Jimenez,628.74,7.0,39.9,Top 20%
418,C004398,Leah Cardenas,628.69,7.0,40.0,Top 20%
419,C002047,Heather Rowe,628.67,7.0,40.1,Top 20%
